mcid,program,peer_group
MCID3111339204,Electrical,starters
MCID3111339206,Electrical,starters
MCID3111339211,Mechanical,starters
MCID3111339226,Electrical,starters
MCID3111339250,Electrical,starters
MCID3111339344,Electrical,starters
MCID3111339572,Mechanical,starters
MCID3111339647,Electrical,starters
MCID3111339752,Mechanical,starters
MCID3111339928,Mechanical,starters
MCID3111340038,Mechanical,starters
MCID3111340112,Mechanical,starters
MCID3111340417,Mechanical,starters
MCID3111340418,Mechanical,starters
MCID3111340492,Industrial,starters
MCID3111340551,Civil,starters
MCID3111340586,Civil,starters
MCID3111340619,Electrical,starters
MCID3111340621,Mechanical,starters
MCID3111340628,Industrial,starters
MCID3111340845,Mechanical,starters
MCID3111340913,Mechanical,starters
MCID3111341023,Mechanical,starters
MCID3111343589,Civil,starters
MCID3111343768,Mechanical,starters
MCID3111343770,Industrial,starters
MCID3111343800,Mechanical,starters
MCID3111343981,Electrical,starters
MCID3111344388,Electrical,starters
MCID3111345063,Electrical,starters
MCID3111345593,Civil,starters
MCID3111348650,Industrial,starters
MCID3111350243,Civil,starters
MCID3111350752,Mechanical,starters
MCID3111351253,Electrical,starters
MCID3111351262,Civil,starters
MCID3111351809,Industrial,starters
MCID3111351835,Industrial,starters
MCID3111351899,Electrical,starters
MCID3111352106,Civil,starters
MCID3111352394,Civil,starters
MCID3111352403,Electrical,starters
MCID3111352404,Electrical,starters
MCID3111352405,Mechanical,starters
MCID3111352406,Industrial,starters
MCID3111352433,Civil,starters
MCID3111353085,Mechanical,starters
MCID3111353112,Civil,starters
MCID3111353366,Mechanical,starters
MCID3111353654,Civil,starters
MCID3111353691,Mechanical,starters
MCID3111353979,Mechanical,starters
MCID3111354014,Industrial,starters
MCID3111354378,Mechanical,starters
MCID3111354383,Mechanical,starters
MCID3111354823,Civil,starters
MCID3111355339,Electrical,starters
MCID3111355361,Industrial,starters
MCID3111355363,Mechanical,starters
MCID3111355435,Electrical,starters
MCID3111355442,Industrial,starters
MCID3111355443,Mechanical,starters
MCID3111355493,Mechanical,starters
MCID3111355774,Industrial,starters
MCID3111355797,Industrial,starters
MCID3111356096,Industrial,starters
MCID3111356129,Industrial,starters
MCID3111356130,Civil,starters
MCID3111356148,Mechanical,starters
MCID3111356160,Civil,starters
MCID3111356171,Electrical,starters
MCID3111356547,Electrical,starters
MCID3111356556,Civil,starters
MCID3111356562,Mechanical,starters
MCID3111356564,Civil,starters
MCID3111356565,Mechanical,starters
MCID3111356585,Civil,starters
MCID3111356593,Mechanical,starters
MCID3111356789,Electrical,starters
MCID3111357108,Industrial,starters
MCID3111357129,Electrical,starters
MCID3111357142,Mechanical,starters
MCID3111357143,Mechanical,starters
MCID3111357153,Mechanical,starters
MCID3111357159,Electrical,starters
MCID3111357532,Civil,starters
MCID3111357535,Civil,starters
MCID3111357548,Mechanical,starters
MCID3111358040,Civil,starters
MCID3111358207,Mechanical,starters
MCID3111358211,Civil,starters
MCID3111358218,Mechanical,starters
MCID3111358220,Mechanical,starters
MCID3111358240,Electrical,starters
MCID3111358440,Electrical,starters
MCID3111358467,Civil,starters
MCID3111358759,Civil,starters
MCID3111358761,Industrial,starters
MCID3111358778,Civil,starters
MCID3111358789,Civil,starters
MCID3111358805,Mechanical,starters
MCID3111358980,Electrical,starters
MCID3111358996,Civil,starters
MCID3111359163,Electrical,starters
MCID3111359166,Mechanical,starters
MCID3111359454,Mechanical,starters
MCID3111359498,Electrical,starters
MCID3111359559,Civil,starters
MCID3111359599,Civil,starters
MCID3111359657,Electrical,starters
MCID3111359664,Mechanical,starters
MCID3111359670,Mechanical,starters
MCID3111359891,Civil,starters
MCID3111363210,Mechanical,starters
MCID3111363233,Electrical,starters
MCID3111363235,Mechanical,starters
MCID3111363453,Mechanical,starters
