mcid,program
MCID3111478487,CE
MCID3111478608,ME
MCID3111478619,ME
MCID3111478697,ME
MCID3111478822,EE
MCID3111478993,CE
MCID3111479024,CE
MCID3111479075,ME
MCID3111479315,ME
MCID3111479491,CE
MCID3111479512,CE
MCID3111479514,CE
MCID3111479618,EE
MCID3111479624,ME
MCID3111479650,ME
MCID3111479655,ME
MCID3111479708,ME
MCID3111479825,ME
MCID3111479833,ME
MCID3111480321,EE
MCID3111480355,CE
MCID3111480361,EE
MCID3111484411,CE
MCID3111485105,ME
MCID3111486309,EE
MCID3111486661,CE
MCID3111487039,ME
MCID3111487121,ME
MCID3111489820,CE
MCID3111490108,ME
MCID3111490114,CE
MCID3111490418,ISE
MCID3111491224,ISE
MCID3111491331,ME
MCID3111493914,CE
MCID3111493950,EE
MCID3111494598,ME
MCID3111495298,EE
MCID3111500534,ME
MCID3111501076,ISE
MCID3111503871,CE
MCID3111503875,EE
MCID3111503953,ME
MCID3111503955,EE
MCID3111503957,EE
MCID3111503987,EE
MCID3111504440,EE
MCID3111504730,ME
MCID3111504952,ISE
MCID3111507068,ME
MCID3111507509,ISE
MCID3111507650,EE
MCID3111507655,CE
MCID3111507752,ME
MCID3111507784,CE
MCID3111507903,CE
MCID3111508098,ME
MCID3111508105,ME
MCID3111508623,ME
MCID3111508629,EE
MCID3111508703,EE
MCID3111508736,EE
MCID3111509048,CE
MCID3111509220,ISE
MCID3111509352,EE
MCID3111510803,EE
MCID3111513572,EE
MCID3111513582,EE
MCID3111513591,ISE
MCID3111513592,EE
MCID3111513661,EE
MCID3111513672,CE
MCID3111516918,ME
MCID3111517238,EE
MCID3111517681,ME
MCID3111518115,CE
MCID3111518127,ME
MCID3111518630,ISE
MCID3111518675,ISE
MCID3111518711,ISE
MCID3111519219,EE
MCID3111519476,CE
MCID3111519517,CE
MCID3111519782,ME
MCID3111519794,CE
MCID3111519816,EE
MCID3111519865,ME
MCID3111520495,EE
MCID3111520549,EE
MCID3111521119,ME
MCID3111521142,ME
MCID3111521166,ME
MCID3111521418,CE
MCID3111521757,ME
MCID3111521758,CE
MCID3111521766,CE
MCID3111521771,CE
MCID3111522591,ME
MCID3111522604,CE
MCID3111522637,ME
MCID3111522679,ME
MCID3111522695,CE
MCID3111522698,ISE
MCID3111522885,ISE
MCID3111523500,CE
MCID3111523764,ISE
MCID3111523780,ME
